rabble                                  crowd
rubicund                                ruddy complexion
ruck                                    the common herd
rudiment                                beginning, kernel
rue                                     regret
ruffian                                 brutal person
ruminate                                ponder
rummage                                 hunt, grope
runel                                   stream
ruse                                    trick
rustic                                  rural
