Cassandra                               unheeded prophet
coup de grâce                           final stroke, a blow of mercy
court-martial                           military trial
courtesan                               prostitute
courtier                                member of the king’s court
covenant                                agreement, pact
covert                                  secret
covet                                   desire
cower                                   showing fear
crass                                   crude
crave                                   desire
craven                                  cowardly
credence                                belief
credenza                                buffet
credulity                               gullibility
credulous                               believing
creed                                   belief
crescendo                               becoming louder
crestfallen                             dejected
crevice                                 crack
cringe                                  cower
criterion                               a standard used in judging
critique                                examination, criticism
croon                                   sing
cruet                                   bottle
crux                                    gist, key
cryptic                                 mysterious, puzzling
cubism                                  a style of painting
cudgel                                  club
culinary                                pertaining to cooking
cull                                    pick out, select
culminate                               climax
culpable                                blameworthy
culprit                                 offender
culvert                                 drain
cumbersome                              unwieldy
cumulative                              accumulate
cupidity                                greed
curb                                    restrain, block
curmudgeon                              boor, bad-tempered
curriculum                              course of study
curry                                   seek favor by flattery
cursory                                 hasty
curt                                    abrupt, rude
curtail                                 shorten
cyclone                                 storm
cynical                                 scornful of the motives or sincerity of others
cynosure                                celebrity, center of attention
czar                                    Russian emperor
